Grade 7 
Group A: Songs in a dramatic context 
A(i): Opera, operetta & oratorio 
	Key & range 	Composer 	Song  	Book 	Publisher & code 
Soprano 				
140 	A♭; d'-g♭"  [G] [F] 	 Brahms  	Feldeinsamkeit,  op. 86 no. 2 	Lieder I 	Peters EP3201aEP3201bEP3201c(high), (med), (low) 
141 	D; e-g'(a') [C] [B♭] 	Brahms 	(M) Minnelied, op. 71 no. 5 	Lieder I 	Peters EP3201aEP3201bEP3201c(high), (med), (low) 
142  	Fm; d♭'-a" [Dm]  [Cm] 	Brahms 	Nachtigall, op. 97 no. 1 	Lieder I 	Peters EP3201aEP3201bEP3201c(high), (med), (low) 
143 	G; d'-g#" [E] [E♭] 	Brahms 	Ständchen (‘Der Mond steht’), op. 106 no. 1 	Lieder I 	Peters EP3201aEP3201bEP3201c(high), (med), (low) 
144  	D; d'-d"  	Franck, J W  	O angenehme Nacht 	Charles Brett's Baroque Anthology for Counter-tenor vol. 2 	Green Man CB2 
145 	F#m; c#'-f#" [Dm] 	Mendelssohn  	Schilflied, op. 71 no. 4 	Single edition (ebook) 	Trinity TCL032379e (high), TCL032416e (low) 
146 	F; c'-f'' [E♭] 	Mendelssohn- Hensel 	Nachtwanderer 	Single edition (ebook) 	Trinity TCL032386e (high), TCL032423e (low) 
147 	E♭; e♭'-g" 	Schumann,C 	Liebeszauber 	Sämtliche Lieder vol. 1 	Breitkopf EB8558 
148 	A; f#'-f#" [G] 	Schumann,R 	Röselein, Röselein, op. 89 no. 6 	Lieder vol. 3 	Peters EP2385a (high), EP2385b (med) 
149 	B♭; f'-f" [A♭] [G] 	Schubert 	Ave Maria (Ellen’s dritter Gesang), D839 (in German, not Latin) 	Lieder vol. 1 	Peters EP20a (high), EP20b (medium), EP20c (low) 
150 	A♭;[F] c'-g♭" 	Schubert 	(M) Das Fischermädchen (Schwanengesang, D957) 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
151 	A♭;[G]e♭'-f" [F] 	Schubert 	Frühlingsglaube, D686, op. 20 no. 2 	Lieder vol. 1 	Peters EP20a (high), EP20b (medium), EP20c (low) 
152 	Cm; c'-f♭" [Cm] [B♭m] 	Schubert 	SchäfersD121 Klagelied, 	Lieder vol. 1 	Peters EP20a (high), EP20b (medium), EP20c (low) 
153  	E♭; d'-a♭" 	Stölzel (previously attrib. Bach, J S) 	Bist du bei mir (in German) 	Elisabeth Schumann Liederbuch 	Universal UE9559
154 	E; c#'-g#" [D] [C] 	Strauss 	All mein' Gedanken, op. 21 no. 1 	Lieder vol. 2 or Elisabeth Schumann Liederbuch 	Universal UE5464a/b/c (high/med/low) or UE9559 
155 	Am; e'-f" [Gm] 	Wolf 	Das verlassene Mägdlein (Mörike Lieder no. 7) 	Gateway to German Lieder 	Alfred 17611 (high), 17617 (low) 
156 	B; a♭'-g" [A♭] 	Wolf 	(F) Ein Stündlein wohl vor Tag (Mörike Lieder no. 3) 	Mörike Lieder vol. 1 	Peters EP3140a (high), EP3140b (low) 
157 	D; a'-g" [C] 	Wolf 	Der Gärtner (Mörike Lieder no. 17) 	Ausgewählte Lieder 	Peters EP4290a (high), EP4290b (low) 
158 	Em; g'-f#" [Cm] 	Wolf 	Nun wandre Maria (no. 3 of Spanisch Liederbuch 1) 	Ausgewählte Lieder 	Peters EP4290a (high), EP4290b (low) 
Group D: French mélodie 
	Key & range 	Composer  	Song 	Book 	Publisher & code 
159 	F; e'-g"  [E♭] 	Bizet  	Chanson d'Avril 	20 Mélodies 	Choudens AC2485 (soprano/tenor), AC2486 (mezzo/baritone) 
160 	Fm; d'-g"  [Em] 	Bizet  	Pastorale 	20 Mélodies 	Choudens AC2485 (soprano/tenor), AC2486 (mezzo/baritone) 
161 	F; a-f"  [E♭] 	Chaminade  	Mignonne 	Women Composers: A Heritage of Song 	Hal Leonard HL00740270 (high), HL00740271 (low) 
162 	 D; d'-g#"  	Debussy 	Romance: l’âme évaporée 	Songs of Claude Debussy vol. 2 (medium voice) 	Hal Leonard HL00660283 
163 	Em; e'-g" [Cm] 	Fauré 	Au cimitière 	50 Songs for high (or medium/low) voice 	Hal Leonard HL00747071 (high), HL00747070 (medium/low) 
164 	Cm; g'-g"  [Am] or  Cm [Gm] 	Fauré 	Clair de lune 	50 Songs for high (or medium/low) voice or The Language of Song: Intermediate 	Hal Leonard HL00747071 (high), HL00747070 (medium/low)Faber 0571523439 (high), 0571523447 (low) or 
165 	A♭; e♭'-f"  [G] 	Fauré  	Mandoline (Cinq mélodies ‘de Venise’) 	50 Songs for high (or medium/low) voice 	Hal Leonard HL00747071 (high), HL00747070 (medium/low) 
166 	G♭; g♭'-a♭"  [D] 	Fauré  	Nell 	50 Songs for high (or medium/low) voice 	Hal Leonard HL00747071 (high), HL00747070 (medium/low) 
167 	Cm; g-a♭" [B♭m] 	Fauré 	(M) Sérénade toscane 	50 Songs for high (or medium/low) voice 	Hal Leonard HL00747071 (high), HL00747070 (medium/low) 
168  	A; c#'-f#"  	Hahn 	(F) L’incrédule 	Mélodies vol. 1 	Heugel HE8315 
169 	D♭; d♭'-f"  [D♭] 	Poulenc 	Fleurs 	The Art of French Song vol. 2 	Peters EP7520a (high), EP7520b (medium/low) 
170 	D♭; c#'-  g♭"(e♭") 	Poulenc 	(F) Les chemins de l’amour 	Les chemins de l’amour 	Eschig ME00622201 
171  	b-f#"  	Poulenc 	Le disparu 	Le disparu 	Salabert SLB00536300 
172 	F; e'-f" [D] 	Saint-Saëns 	Chanson triste 	Single edition (ebook) 	Trinity TCL032393e (high), TCL032430e (low) 
173 	C; d'-g" 	Satie 	Je te veux 	Je te veux 	Salabert SLB00461400 
174 	D; d'-e" (f#") [B♭] 	de Séverac 	Ma poupée chérie 	Singing Grade 7 from 2023 	Trinity TCL031679 / TCL031679e (high), TCL031686 / TCL031686e (low) 
175  	E♭; e♭'-e♭" 	Trad., arr. Hopkins 	Gai lon la 	Five French Folk Songs 	Chester CH04051 
Group E: General song repertoire in other languages 
	Key & range 	Composer 	Publisher Song  Book & code 
176 	F; c'-a" [D] 	Bach, J S/ Gounod 	OUP 9780193457843 Ave Maria  Sing Solo: Sacred  (high), 9780193457850 (low) 
177 	B♭;[F] d'-f" 	Bellini 	Trinity TCL031679 / TCL031679e Singing Grade 7 Vaga luna, che inargenti  (high), from 2023 TCL031686 / TCL031686e (low) 
